 My Beautiful Dark Twisted Fantasy,Kanye West
 Blonde,Frank Ocean
 To Pimp a Butterfly,Kendrick Lamar
 Innerspeaker,Tame Impala
 The Suburbs,Arcade Fire
 Teen Dream,Beach House
 Channel Orange,Frank Ocean
 Ctrl,SZA
 Contra,Vampire Weekend
 Golden Hour,Kacey Musgraves
 Flower Boy,"Tyler, The Creator"
 Process,Sampha
 "i,i",Bon Iver
 Negro Swan,Blood Orange
 VEGA INTL. Night School,Neon Indian
 Visions,Grimes
 MISTA THUG ISOLATION,Lil Ugly Mane
 Salad Days,Mac Demarco
 Acid Rap,Chance the Rapper
 Lonerism,Tame Impala
 Section.80,Kendrick Lamar
 In Colour,Jamie XX
 "Hurry Up, We’re Dreaming",M83
 Live.Love.A$AP,A$AP Rocky
 Little Dark Age,MGMT
 4:44,Jay Z
 Cardinal,Pinegrove
 HEAVN,Jamila Woods
 Shrines,Purity Ring
 Endless,Frank Ocean
 Black Up,Shabazz Palaces
 Take Care,Drake
 SBTRKT,SBTRKT
 The Money Store,Death Grips
 Piñata,Freddie Gibbs & Madlib
 A New Place 2 Drown,King Krule
 House of Sugar,(Sandy) Alex G
 Run The Jewels,Run The Jewels
 w h o k i l l,"tUnE,yArDs"
 Hit Vibes,Saint Pepsi
 The Life of Pablo,Kanye West
 Hope Downs,Rolling Blackouts Coastal Fever
 LP1,FKA twigs
 You’re Dead!,Flying Lotus
 Shaking the Habitual,The Knife
 Bandana,Freddie Gibbs & Madlib
 Engravings,Forest Swords
 Blank Banshee 1,Blank Banshee
 Leak 04-13 (Bait Ones),Jai Paul
 Trilogy,The Weeknd